# experiment P-181 (R-186)
# hypothesis: M-491 read tau = 1.000000000 on box_exact, whose reach is 0, and the failure was not arithmetic: a sharp edge is a one-dimensional subset of the surface, no marching-cubes vertex is obliged to land on one, and both halves of Theorem 3.4 answered correctly for a manifold the theorem's own hypothesis (reach > 0) excludes. Three of this crate's reference fields carry sharp features -- box_exact, thin_plate, and csg_difference at its cut -- so every sampling theorem in this family is INAPPLICABLE to them, and the instrument that says so does not exist. It can: at a crease the field's gradient DIRECTION is discontinuous while its magnitude is not, so the angular spread of the unit gradient over a ball of radius r about a surface point converges to the dihedral angle as r falls, whereas on a C^2 surface it falls like r. The detector is that convergence, measured over a ladder of radii, and it needs no mesh and no medial axis. (C1) The two behaviours separate: on box_exact and thin_plate the largest limiting spread is at least 80 degrees and the ratio spread(r)/spread(2r) stays above 0.8 down the ladder, while on sphere, torus and capsule the spread falls with ratio at most 0.6 at every rung. (C2) The verdict agrees with the closed forms on all four fields whose reach is known: flagged on box_exact (tau = 0), unflagged on sphere, torus and capsule (tau > 0). (C3) The three fields M-491 measured a minute but non-zero tau on -- gyroid 0.000709069, fbm_terrain 0.092099998, noise_cavity 0.000145884 -- come back UNFLAGGED, which would say those numbers are real small reaches rather than zeros the estimator failed to see. SHARE: none -- this decides which theorems may be quoted about which field, not what the extractor does.
# falsified by: C1 by the two families not separating, which would mean the angular spread is not the signal and a crease detector needs the mesh after all -- a worse instrument, because the mesh is what the theorem is supposed to be grading. C2 by a disagreement with a closed form, which closes the route: an instrument that miscalls a known case cannot certify an unknown one. C3 by a FLAG on any of the three rough fields, which would be the most consequential outcome available here -- it would say those fields have reach exactly zero rather than merely small, that M-491's C2 spread of 2468.025804 was measuring a floor rather than a quantity, and that no positive-reach theorem applies to five of this crate's eight reference fields. VACUITY CONTROL: a synthetic pair with a known answer, built in the same harness and scored before any reference field is read -- two half-planes meeting at exactly 90 degrees, and the same wedge filleted with a known blend radius of 0.05. The detector must flag the first, must not flag the second, and must recover the fillet's curvature 1/0.05 = 20 to within 10 percent. A detector that cannot tell a crease from a 0.05 fillet cannot certify anything, and the row is vacuous whatever the clauses say.
# commit 1e03bdf (WORKING TREE DIRTY) on amd-ryzen-9-5900x-12-core at 2026-09-12T14:14:06Z
field,probe_radius,surface_samples,max_angular_spread_deg,spread_ratio,limiting_spread_deg,flagged_sharp,tau_known,verdict_agrees,fillet_curvature_measured,fillet_curvature_expected,control_separates,c1_holds,c2_holds,c3_holds
sphere,0.100000000,1728,11.478224993,0.499694998,0.712786588,false,1.000000000,true,19.927397218,20.000000000,true,false,true,false
sphere,0.050000000,1728,5.723607370,0.499694998,0.712786588,false,1.000000000,true,19.927397218,20.000000000,true,false,true,false
sphere,0.025000000,1728,2.856149618,0.499694998,0.712786588,false,1.000000000,true,19.927397218,20.000000000,true,false,true,false
sphere,0.012500000,1728,1.426443311,0.499694998,0.712786588,false,1.000000000,true,19.927397218,20.000000000,true,false,true,false
sphere,0.006250000,1728,0.712786588,0.499694998,0.712786588,false,1.000000000,true,19.927397218,20.000000000,true,false,true,false
torus,0.100000000,1728,38.896168677,0.499297751,2.380499145,false,0.300000000,true,19.927397218,20.000000000,true,false,true,false
torus,0.050000000,1728,19.116726283,0.499297751,2.380499145,false,0.300000000,true,19.927397218,20.000000000,true,false,true,false
torus,0.025000000,1728,9.554144559,0.499297751,2.380499145,false,0.300000000,true,19.927397218,20.000000000,true,false,true,false
torus,0.012500000,1728,4.767694506,0.499297751,2.380499145,false,0.300000000,true,19.927397218,20.000000000,true,false,true,false
torus,0.006250000,1728,2.380499145,0.499297751,2.380499145,false,0.300000000,true,19.927397218,20.000000000,true,false,true,false
box_exact,0.100000000,1728,90.000000000,1.000000000,90.000000000,true,0.000000000,true,19.927397218,20.000000000,true,false,true,false
box_exact,0.050000000,1728,90.000000000,1.000000000,90.000000000,true,0.000000000,true,19.927397218,20.000000000,true,false,true,false
box_exact,0.025000000,1728,90.000000000,1.000000000,90.000000000,true,0.000000000,true,19.927397218,20.000000000,true,false,true,false
box_exact,0.012500000,1728,90.000000000,1.000000000,90.000000000,true,0.000000000,true,19.927397218,20.000000000,true,false,true,false
box_exact,0.006250000,1728,90.000000000,1.000000000,90.000000000,true,0.000000000,true,19.927397218,20.000000000,true,false,true,false
capsule,0.100000000,1728,33.202738794,0.499764168,2.045672890,false,0.350000000,true,19.927397218,20.000000000,true,false,true,false
capsule,0.050000000,1728,16.418346835,0.499764168,2.045672890,false,0.350000000,true,19.927397218,20.000000000,true,false,true,false
capsule,0.025000000,1728,8.188927791,0.499764168,2.045672890,false,0.350000000,true,19.927397218,20.000000000,true,false,true,false
capsule,0.012500000,1728,4.093276433,0.499764168,2.045672890,false,0.350000000,true,19.927397218,20.000000000,true,false,true,false
capsule,0.006250000,1728,2.045672890,0.499764168,2.045672890,false,0.350000000,true,19.927397218,20.000000000,true,false,true,false
